type,director,cast,country,release_year,rating,duration,listed_in,duration_value,duration_type
movie,"ken burns, artemis joukowsky","tom hanks, marina goldman",united states,2016,tv-14,79 min,documentaries,79.0,min
movie,dennis iliadis,"topher grace, genesis rodriguez, patricia clarkson, callan mulvey, robin thomas, daisy mccrackin",united states,2018,r,96 min,"horror movies, thrillers",96.0,min
movie,camilla nielsson,unknown,"denmark, zimbabwe",2014,nr,99 min,"documentaries, international movies",99.0,min
movie,christian gudegast,"gerard butler, pablo schreiber, o'shea jackson jr., 50 cent, meadow williams, maurice compte, brian van holt, evan jones, mo mcrae, kaiwi lyman",united states,2018,r,140 min,action & adventure,140.0,min
movie,ted demme,denis leary,united states,1992,r,62 min,stand-up comedy,62.0,min
movie,frederick cipoletti,"will brittain, callan mulvey, tyson ritter, bill tangradi, natasha bassett, james russo, jonathan rosenthal, juston street, mark kassen, takuya iba, michael rhys kan, jack conley, trieu tran",unknown,2018,tv-ma,88 min,"dramas, thrillers",88.0,min
movie,sam patton,"jaimi paige, alyshia ochse, toby nichols, claude duhamel",united states,2017,tv-ma,76 min,"horror movies, thrillers",76.0,min
movie,mohamed samy,"mohamed ramadan, dina el-sherbiny, eyad nassar, sayed rajab, walid fawaz, eman el-assy",egypt,2017,tv-14,99 min,"action & adventure, international movies",99.0,min
movie,christopher smith,"tye sheridan, bel powley, emory cohen, gbenga akinnagbe, jared abrahamson, john lynch, stephen moyer","united kingdom, south africa",2016,r,97 min,thrillers,97.0,min
movie,michael feifer,"emma bell, nick ballard, bradley bundlie, gail o'grady, corbin timbrook, kate lang johnson, robert adamson, caia coley, alicia james, sotida arpon",united states,2019,tv-14,87 min,thrillers,87.0,min
movie,saara cantell,"tuulia eloranta, magnus krepper, elin petersdottir, claes malmberg, kaija pakarinen, antti reini, lauri tanskanen, johanna af schultén, maria sid, pirkko hämäläinen, sonja halla-aho","finland, sweden, norway, latvia, germany",2016,tv-ma,108 min,"dramas, international movies",108.0,min
movie,clay staub,"amanda schull, milo ventimiglia, shawn ashmore, bridget regan, jonathan frakes, sarah constible, spencer drever, javier botet",canada,2017,tv-ma,94 min,"horror movies, sci-fi & fantasy, thrillers",94.0,min
tv show,unknown,"rasika dugal, devdutt pattanaik",india,2017,tv-pg,1 Season,international tv shows,1.0,season
movie,"sumitra bhave, sunil sukthankar","atul kulkarni, sonali kulkarni, tushar dalvi, devika daftardar, amruta subhash, mohan agashe, ashwin chitale, jyoti subhash",india,2004,tv-pg,123 min,"dramas, international movies",123.0,min
tv show,unknown,"michael c. hall, jennifer carpenter, david zayas, james remar, c.s. lee, lauren vélez, desmond harrington, julie benz, christina robinson, geoff pierson",united states,2013,tv-ma,8 Seasons,"crime tv shows, tv dramas, tv mysteries",8.0,season
movie,indra kumar,"sanjay dutt, riteish deshmukh, arshad warsi, aashish chaudhary, javed jaffrey, prem chopra, asrani, tiku talsania",india,2007,tv-14,128 min,"action & adventure, comedies, international movies",128.0,min
movie,hark tsui,"mark chao, feng shaofeng, kenny lin, carina lau, ethan juan, sandra ma","china, hong kong",2018,tv-14,132 min,"action & adventure, international movies, sci-fi & fantasy",132.0,min
movie,ben ryder,james d'arcy,united kingdom,2017,tv-pg,93 min,documentaries,93.0,min
movie,unknown,unknown,united kingdom,2017,tv-pg,113 min,"documentaries, international movies",113.0,min
movie,benoît jacquot,"léa seydoux, vincent lindon, clotilde mollet, hervé pierre, mélodie valemberg, patrick d'assumçao, vincent lacoste, joséphine derenne, dominique reymond","france, belgium",2015,nr,96 min,"dramas, international movies",96.0,min
movie,lee tamahori,"pierce brosnan, halle berry, toby stephens, rick yune, rosamund pike, judi dench, john cleese, michael madsen, will yun lee, kenneth tsang, emilio echevarría, mikhail gorevoy, lawrence makoare, colin salmon, samantha bond","united kingdom, united states",2002,pg-13,133 min,action & adventure,133.0,min
movie,kundan shah,"rekha, preity zinta, mahima chaudhry, arjun rampal, jimmy shergill, alok nath, dilip joshi, govind namdeo",india,2002,tv-14,176 min,"dramas, international movies, music & musicals",176.0,min
tv show,unknown,unknown,united states,2007,tv-ma,1 Season,stand-up comedy & talk shows,1.0,season
movie,jay roach,"steve carell, paul rudd, zach galifianakis, jemaine clement, jeff dunham, bruce greenwood, ron livingston, chris o'dowd, lucy punch, stephanie szostak, david walliams, larry wilmore",united states,2010,pg-13,115 min,comedies,115.0,min
tv show,unknown,unknown,canada,2016,tv-g,1 Season,"docuseries, science & nature tv",1.0,season
movie,chia-liang liu,"hou hsiao, gordon liu, lily li, jason pai piao, chia-liang liu",hong kong,1985,tv-14,90 min,"action & adventure, international movies",90.0,min
movie,todd standing,todd standing,united states,2017,tv-ma,111 min,documentaries,111.0,min
movie,benjamin arfmann,"kent osborne, dylan sprouse, rae gray, alycia delmore, robert longstreet, chris bauer, randall park, mitchell edwards, victoria zeutzius, leslie thurston, matthew j. evans",united states,2017,tv-14,87 min,thrillers,87.0,min
movie,neill blomkamp,"sharlto copley, jason cope, david james, vanessa haywood, mandla gaduka, kenneth nkosi, eugene khumbanyiwa, louis minnaar, william allen young, nathalie boltt","south africa, united states, new zealand, canada",2009,r,112 min,"action & adventure, international movies, sci-fi & fantasy",112.0,min
tv show,unknown,unknown,unknown,2017,tv-ma,1 Season,"british tv shows, reality tv",1.0,season
movie,david lean,"omar sharif, julie christie, geraldine chaplin, rod steiger, alec guinness, tom courtenay, siobhan mckenna, ralph richardson, jeffrey rockland","united states, italy, united kingdom, liechtenstein",1965,pg-13,200 min,"classic movies, dramas, romantic movies",200.0,min
movie,paul schrader,"nicolas cage, willem dafoe, christopher matthew cook, omar j. dorsey, louisa krause, melissa bolona, reynaldo gallegos",united states,2016,tv-ma,93 min,"dramas, thrillers",93.0,min
movie,philip marlatt,"axle mccoy, travis mccoy, tyler jade nixon, alexis louder, devaughn gow, lavaughn hamilton, maya simmons, quddus newton, jordan padreira, derek lee nixon",united states,2019,tv-pg,90 min,children & family movies,90.0,min
movie,charles martin smith,"morgan freeman, ashley judd, harry connick jr., kris kristofferson, nathan gamble, austin stowell, juliana harkavy, charles martin smith, austin highsmith, cozi zuehlsdorff",united states,2014,pg,107 min,"children & family movies, dramas",107.0,min
movie,brian de palma,"nikolaj coster-waldau, carice van houten, eriq ebouaney, guy pearce, mohammed azaay, søren malling, paprika steen, helena kaittani","denmark, france, belgium, italy, netherlands, united states, united kingdom",2019,r,89 min,"international movies, thrillers",89.0,min
movie,"mahin ibrahim, austin kolodney, will lowell, david beier, dave dorsey, xu zhang, alana waksman, jon yonkondy, drue metz, brandon somerhalder","carmen argenziano, horatio sanz, luis guzman, vera cherny, lorena mcgregor, reinaldo zavarce, jacquie barnbrook, anthony skordi, lin shaye, james franco",united states,2015,tv-14,83 min,"comedies, independent movies",83.0,min
movie,jared hess,"sam rockwell, amy ryan, will forte, danny mcbride, jemaine clement, leslie bibb, steve park, sky elobar, p.j. boudousqué, yaniv moyal",united states,2015,pg-13,96 min,comedies,96.0,min
movie,troy nixey,"katie holmes, guy pearce, bailee madison, jack thompson, garry mcdonald, alan dale, julia blake, edwina ritchard, emilia burns, guillermo del toro","united states, australia, mexico",2010,r,99 min,horror movies,99.0,min
movie,thierry donard,"davide carrera, jesse richman, loic collomb-patton, wille lindberg, matt annetts",france,2015,tv-ma,95 min,"action & adventure, documentaries, international movies",95.0,min
movie,thierry donard,"davide carrera, eric duguil, jesse richman, richie jackson, loic collomb-patton, wille lindberg, matt annetts",france,2016,tv-ma,88 min,"action & adventure, documentaries, international movies",88.0,min
movie,thierry donard,"temarii buillard, davide carrera, jesse richman, loic collomb-patton, wille lindberg, matt annetts",france,2017,tv-14,94 min,"action & adventure, documentaries, international movies",94.0,min
movie,caradog w. james,"katee sackhoff, lucy boynton, richard mylan, nick moran, pascale wilson, javier botet, pooneh hajimohammadi, sarah buckland",united kingdom,2016,r,93 min,"horror movies, international movies",93.0,min
movie,daniel gordon,richard branson,united kingdom,2016,tv-ma,93 min,"documentaries, international movies",93.0,min
movie,mike birbiglia,"keegan-michael key, gillian jacobs, mike birbiglia, kate micucci, chris gethard, richard masur, tami sagher, erin darke",united states,2016,r,92 min,"comedies, dramas, independent movies",92.0,min
movie,mike newell,"al pacino, johnny depp, michael madsen, bruno kirby, james russo, anne heche, zeljko ivanek, gerry becker, robert miano, zach grenier",united states,1997,r,127 min,"dramas, thrillers",127.0,min
movie,andrzej bartkowiak,"karl urban, rosamund pike, dwayne johnson, deobia oparei, ben daniels, razaaq adoti, richard brake, dexter fletcher, al weaver, brian steele","united kingdom, czech republic, germany, united states",2005,r,105 min,"action & adventure, horror movies, sci-fi & fantasy",105.0,min
tv show,unknown,michael izquierdo,united states,2013,tv-14,1 Season,"reality tv, science & nature tv",1.0,season
movie,wong jing,"carol 'do do' cheng, maggie cheung, wilson lam, chan pak-cheung, charlie cho, tom poon, kwan ming-yuk, hon yee-sang, sherman wong, lo fan",hong kong,1989,tv-14,94 min,"action & adventure, comedies, international movies",94.0,min
movie,john patrick shanley,"meryl streep, philip seymour hoffman, amy adams, viola davis, alice drummond, audrie neenan, susan blommaert, carrie preston, lydia jordan, lloyd clay brown",united states,2008,pg-13,104 min,"dramas, faith & spirituality",104.0,min
movie,m.j. isakson,unknown,united states,2017,tv-pg,94 min,documentaries,94.0,min
movie,bo welch,"mike myers, alec baldwin, kelly preston, dakota fanning, spencer breslin, amy hill, sean hayes, dan castellaneta",united states,2003,pg,82 min,"children & family movies, comedies",82.0,min
movie,"scott mosier, yarrow cheney","benedict cumberbatch, cameron seely, rashida jones, pharrell williams, kenan thompson, angela lansbury","france, china, japan, united states",2018,pg,86 min,"children & family movies, comedies",86.0,min
movie,rob cohen,"sean connery, dennis quaid, david thewlis, pete postlethwaite, dina meyer, jason isaacs, brian thompson, julie christie",united states,1996,pg-13,103 min,"action & adventure, sci-fi & fantasy",103.0,min
movie,colin teague,"julian morris, tamzin merchant, ben kingsley, jassa ahluwalia, jonjo o'neill, dominic mafham, roger ashton-griffiths, jake curran, duncan preston, ozama oancea",united states,2015,pg-13,97 min,"action & adventure, sci-fi & fantasy",97.0,min
movie,doug lefler,"christopher masterson, harry van gorkum, rona figueroa, matt hickey, henry o, tom burke, robby benson, ken shorter, john woodnutt, lubomir misak",united states,2000,pg,84 min,"action & adventure, sci-fi & fantasy",84.0,min
movie,patrik syversen,"tom rhys harries, jessamine-bliss bell, patrick stewart, andré eriksen, richard cordery, martin hutson, turlough convery, delroy brown, tamzin merchant",united states,2017,pg-13,98 min,"action & adventure, sci-fi & fantasy",98.0,min
movie,rajiv chilaka,unknown,unknown,2018,tv-y,68 min,children & family movies,68.0,min
tv show,unknown,"liv hewson, sean dulake, justin chon, noo-ri bae, sa-hee kim, jimmy shubert","united states, south korea, china",2016,tv-14,1 Season,"romantic tv shows, tv comedies, tv dramas",1.0,season
movie,greg macgillivray,jeff bridges,united states,2017,tv-g,42 min,documentaries,42.0,min
movie,tristan ferland milewski,unknown,germany,2017,tv-ma,92 min,"documentaries, international movies, lgbtq movies",92.0,min
movie,reiner holzemer,dries van noten,"germany, belgium",2017,tv-pg,89 min,"documentaries, international movies",89.0,min
movie,unknown,"juliet doherty, kaitlyn black",united states,2018,tv-pg,99 min,dramas,99.0,min
tv show,unknown,mike secher,united states,2015,tv-ma,1 Season,"crime tv shows, docuseries",1.0,season
tv show,unknown,"kate del castillo, jorge zabaleta, josé maría torre, tony dalton, géraldine bazán, ximena duque, adriana barraza, juan pablo llano, daniela wong, tiago correa, margarita muñoz, miguel varoni, ariel texido, maría luisa flores, alberto jiménez, andrea lópez, maxi iglesias, jorge hernández, alberto mateo, sofía lama","united states, chile",2015,tv-14,1 Season,"crime tv shows, international tv shows, spanish-language tv shows",1.0,season
movie,afia nathaniel,"samiya mumtaz, mohib mirza, saleha aref, asif khan, adnan shah, ajab gul, abdullah jan, samina ahmad, omair rana, zeeshan shafa","pakistan, norway, united states",2014,tv-14,93 min,"dramas, independent movies, international movies",93.0,min
movie,eeshwar nivas,"vivek oberoi, diya mirza, atul kulkarni, govind namdeo, mukesh rishi, sushant singh, yashpal sharma, sheeba",india,2003,tv-14,162 min,"action & adventure, dramas, international movies",162.0,min
movie,troy miller,"eric christian olsen, derek richardson, rachel nichols, cheri oteri, luis guzmán, elden henson, william lee scott, mimi rogers, eugene levy",united states,2003,pg-13,85 min,comedies,85.0,min
movie,emma hatherley,michael mosley,united kingdom,2016,tv-14,52 min,documentaries,52.0,min
movie,dave green,"teo halm, astro, reese hartwig, ella wahlestedt, jason gray-stanford, algee smith, cassius willis, sonya leslie, kerry o'malley, virginia louise smith, peter mackenzie, valerie wildman",united states,2014,pg,91 min,"children & family movies, sci-fi & fantasy",91.0,min
tv show,unknown,"angelina carballo, raul-gomez pina, eric anderson",brazil,2014,tv-y,1 Season,kids' tv,1.0,season
tv show,unknown,olivia colman,united kingdom,2015,tv-pg,1 Season,"british tv shows, docuseries, science & nature tv",1.0,season
tv show,unknown,corey johnson,unknown,2018,tv-14,1 Season,"british tv shows, docuseries, science & nature tv",1.0,season
movie,anthony lucero,"diana elizabeth torres, yutaka takeuchi, rodrigo duarte clark, kaya jade aguirre, roji oyama, lane nishikawa, miyoko sakatani",united states,2015,pg,106 min,dramas,106.0,min
movie,will gluck,"emma stone, penn badgley, amanda bynes, dan byrd, thomas haden church, patricia clarkson, cam gigandet, lisa kudrow, malcolm mcdowell, aly michalka",united states,2010,pg-13,92 min,"comedies, romantic movies",92.0,min
tv show,unknown,"lan cheng-lung, joe chen, roy chiu, jocelyn wang, chieh-kai shiou, ting chiang, wang chuan",taiwan,2009,tv-ma,1 Season,"international tv shows, romantic tv shows, tv comedies",1.0,season
movie,ryan murphy,"julia roberts, james franco, javier bardem, richard jenkins, viola davis, billy crudup, hadi subiyanto, mike o'malley, tuva novotny, luca argentero",united states,2010,pg-13,140 min,"dramas, romantic movies",140.0,min
movie,bruce gowers,eddie murphy,united states,1983,tv-ma,69 min,stand-up comedy,69.0,min
movie,ajithkumar,"shane nigaam, nimisha sajayan, manikandan r. achari, alencier ley lopez, sujith sankar, p. balachandran, sudhi koppa",india,2018,tv-14,153 min,"dramas, international movies, romantic movies",153.0,min
movie,harjit singh,"pavan malhotra, sudhanshu aggarwal, arjuna bhalla, avrinder kaur, arvinder bhatti, master yuvraj, jai bharti, gagandeep singh",india,2015,tv-14,124 min,"dramas, international movies",124.0,min
movie,"sumitra bhave, sunil sukthankar","kishore kadam, ashwini giri, kamal desai, devika daftardar, sunil sukthankar, shriram ranade, padmanabh bind",india,2009,tv-pg,120 min,"dramas, independent movies, international movies",120.0,min
movie,sriram raghavan,"saif ali khan, urmila matondkar, seema biswas, pratima kazmi, aditya srivastava, rasika joshi, madan joshi, seema adhikari",india,2004,tv-ma,134 min,"dramas, international movies, thrillers",134.0,min
movie,philipp stölzl,"aaron eckhart, liana liberato, olga kurylenko, garrick hagon, eric godon, yassine fadel, neil napier, david bark-jones, alexander fehling, nick alachiotis, jade hassouné","united states, canada, belgium, united kingdom",2012,r,105 min,action & adventure,105.0,min
tv show,unknown,"juanjo artero, mario casas, blanca suárez, irene montalà, luis callejo, neus sanz, juan pablo shuk, ivan massagué, marina salas, bernabé fernández, javier hernández, patricia arbúes, david seijo, giselle calderón",spain,2013,nr,3 Seasons,"international tv shows, romantic tv shows, spanish-language tv shows",3.0,season
tv show,unknown,"manolo cardona, karen martínez, robinson díaz, diego cadavid, fernando solórzano, julian arango, sandra reyes, juan pablo raba, fernando arévalo",colombia,2008,tv-ma,1 Season,"crime tv shows, international tv shows, spanish-language tv shows",1.0,season
tv show,unknown,"diego cadavid, robinson díaz, patricia manterola, carolina guerra, john álex toro, luis eduardo arango, alejandro martínez, juan sebastián aragón, víctor mallarino, santiago moure, carlos echavarría, john gertz",colombia,2010,tv-ma,1 Season,"crime tv shows, international tv shows, spanish-language tv shows",1.0,season
tv show,unknown,"roberto gómez bolaños, maría antonieta de las nieves, carlos villagrán, florinda meza garcía, angelines fernández abad, rubén aguirre fuentes, edgar vivar, ramón gómez valdez de castillo",mexico,1979,tv-pg,1 Season,"classic & cult tv, kids' tv, spanish-language tv shows",1.0,season
movie,matías gueilburt,paco ignacio taibo ii,venezuela,2017,tv-14,119 min,"documentaries, international movies",119.0,min
tv show,unknown,"mauricio ochmann, sandra echeverría, saúl lisazo, roberto moll, geraldine zivic, andrea lópez, juan pablo raba, daniel lugo",united states,2010,tv-14,1 Season,"romantic tv shows, spanish-language tv shows, tv dramas",1.0,season
movie,justin webster,unknown,spain,2017,tv-14,106 min,"documentaries, international movies",106.0,min
tv show,unknown,"el dasa, cristina rodlo, ricardo polanco, gustavo egelhaaf, mauricio martínez, itatí cantoral, arcelia ramírez, horacio castelo, fátima molina, leonardo daniel, giancarlo vidrio, mónica dionne, sebastián ferrat, mauricio isaac, aldo gallardo, julio casado, arnulfo reyes sanchez, josé maría de tavira, pablo bracho, patricio sebastián",united states,2017,tv-ma,2 Seasons,"international tv shows, spanish-language tv shows, tv comedies",2.0,season
movie,federico lemos,unknown,unknown,2016,tv-pg,79 min,"children & family movies, documentaries, international movies",79.0,min
movie,bassam kurdali,"cas jansen, tygo gernandt",netherlands,2006,tv-ma,196 min,"international movies, sci-fi & fantasy",196.0,min
movie,john bridcut,unknown,united kingdom,2016,tv-g,90 min,documentaries,90.0,min
movie,sebastian gutierrez,"abbey lee, ciarán hinds, carla gugino, matthew beard, dylan baker",united states,2019,r,109 min,"dramas, sci-fi & fantasy",109.0,min
movie,"fabien beziat, hugues nancy",nathalie baye,france,2014,tv-14,93 min,"documentaries, international movies",93.0,min
movie,"hugues nancy, fabien beziat",unknown,unknown,2015,tv-ma,92 min,"documentaries, international movies",92.0,min
movie,nils tavernier,unknown,unknown,2016,tv-pg,49 min,"documentaries, international movies",49.0,min
movie,jon spira,"paul blake, jeremy bulloch, john chapman, anthony forrest, laurie goode, garrick hagon, derek lyons, angus macinnes, david prowse, pam rose",united kingdom,2015,tv-pg,102 min,documentaries,102.0,min
movie,michael thelin,"sarah bolger, joshua rush, carly adams, thomas bair, susan pourfar, chris beetem",united states,2016,tv-ma,82 min,"horror movies, thrillers",82.0,min
movie,riri riza,"cut mini theo, christoffer nelwan, arman dewarti, jajang c. noer, indah permatasari, dimi cindyastira, irmawati jabbar, andreuw parinussa, fanesa kayla",indonesia,2016,tv-pg,74 min,"dramas, international movies",74.0,min
movie,neil triffett,"benson jack anthony, jordan hare, rahart adams, jon prasida, lucy barrett, ben bennett, craig hyde-smith, geraldine viswanathan, kevin clayette, bridie carter",australia,2016,tv-ma,94 min,"dramas, international movies, music & musicals",94.0,min
tv show,unknown,hunter march,united states,2017,tv-pg,1 Season,reality tv,1.0,season
movie,kim nguyen,unknown,"canada, france, italy, morocco, united states",2014,tv-14,87 min,"documentaries, international movies",87.0,min
movie,greg coolidge,"dane cook, jessica simpson, dax shepard, andy dick, tim bagley, brian george, efren ramirez, marcello thedford, danny woodburn, harland williams",united states,2006,pg-13,108 min,"comedies, romantic movies",108.0,min
tv show,unknown,"luis machín, maria merlino, fabián vena, ana chalentano, nelly prince, victor laplace, silvia pérez, pilar gamboa, alberto ajaka, fabio alberti, martin slipak, martín piroyansky, paula ransenberg",unknown,2018,tv-ma,1 Season,"international tv shows, spanish-language tv shows, tv comedies",1.0,season
movie,ajay phansekar,"naseeruddin shah, tara deshpande, akash khurana, ratna pathak shah, dilip prabhavalkar, avtar gill",india,2002,tv-14,151 min,"dramas, independent movies, international movies",151.0,min
tv show,unknown,richard lintern,united kingdom,2016,tv-14,1 Season,"british tv shows, crime tv shows, docuseries",1.0,season
movie,david ayer,"jake gyllenhaal, michael peña, natalie martinez, anna kendrick, david harbour, frank grillo, america ferrera, cle sloan, jaime fitzsimons, cody horn, shondrella avery, america ferrara",united states,2012,r,109 min,action & adventure,109.0,min
tv show,unknown,"raúl méndez, fernanda castillo, matias novoa, guillermo quintanilla, leonardo daniel, otto sirgo, alejandro speitzer, armando hernández, valentina acosta, elvira monsell",unknown,2018,tv-ma,1 Season,"crime tv shows, spanish-language tv shows, tv dramas",1.0,season
movie,denis villeneuve,"jake gyllenhaal, mélanie laurent, sarah gadon, isabella rossellini, joshua peace, tim post","canada, spain, france",2013,r,91 min,"independent movies, thrillers",91.0,min
movie,jenny carchman,james arthur ray,united states,2016,tv-14,93 min,documentaries,93.0,min
movie,jason james,"thomas middleditch, jess weixler, diana bang, randal edwards, marilyn norry, johannah newmarch, nicole laplaca",canada,2018,tv-ma,85 min,"dramas, independent movies, romantic movies",85.0,min
movie,robert clouse,"bruce lee, john saxon, jim kelly, ahna capri, kien shih, robert wall, angela mao, betty chung, geoffrey weeks, bolo yeung, peter archer","hong kong, united states",1973,r,103 min,"action & adventure, classic movies",103.0,min
movie,drake doremus,"nicholas hoult, kristen stewart, jacki weaver, guy pearce, rebecca hazlewood, scott lawrence, kai lennox, rizwan manji","united states, indonesia",2015,pg-13,102 min,"dramas, romantic movies, sci-fi & fantasy",102.0,min
movie,kurt wimmer,"christian bale, emily watson, taye diggs, angus macfadyen, sean bean, sean pertwee, matthew harbour, william fichtner",united states,2002,r,107 min,"action & adventure, dramas, sci-fi & fantasy",107.0,min
movie,wojciech marczewski,"janusz gajos, zbigniew zamachowski, teresa marczewska, piotr fronczewski, władysław kowalski, michał bajor, jan peszek, jerzy bińczycki",poland,1990,tv-ma,88 min,"comedies, dramas, independent movies",88.0,min
movie,alejandro doria,"luis brandoni, china zorrilla, antonio gasalla, julio de grazia, betiana blum, monica villa, juan manuel tenuta, andrea tenuta, cecilia rossetto, enrique pinti",argentina,1985,nr,95 min,"comedies, cult movies, international movies",95.0,min
movie,marcelo gonzález,"flavio medina, aislinn derbez, patricia reyes spíndola, tiaré scanda, angélica aragón, horacio castelo, gonzalo garcia vivanco, rubén gonzález garza, iliana de la garza, mary paz mata",mexico,2016,tv-14,100 min,"dramas, international movies, romantic movies",100.0,min
movie,unknown,"ramanathan, rakesh",india,2018,tv-14,91 min,"international movies, music & musicals, thrillers",91.0,min
movie,valeria golino,"riccardo scamarcio, valerio mastandrea, isabella ferrari, valentina cervi, jasmine trinca, andrea germani, marzia ubaldi, iaia forte",italy,2018,r,110 min,"dramas, international movies, lgbtq movies",110.0,min
tv show,unknown,"bar refaeli, erez tal, assi azar, lucy ayoub",unknown,2019,tv-pg,1 Season,international tv shows,1.0,season
movie,tom shadyac,"steve carell, john goodman, molly shannon, lauren graham, graham phillips, johnny simmons, morgan freeman, wanda sykes, john michael higgins, jonah hill, jimmy bennett",united states,2007,pg,96 min,"children & family movies, comedies, faith & spirituality",96.0,min
movie,paul w.s. anderson,"laurence fishburne, sam neill, kathleen quinlan, joely richardson, richard t. jones, jack noseworthy, jason isaacs, sean pertwee","united kingdom, united states",1997,r,96 min,"horror movies, sci-fi & fantasy",96.0,min
movie,robi michael,"drew fonteiro, marc menchaca, michelle macedo, tyler fleming, melissa macedo, kenneth moronta, frankie hinton",united states,2019,tv-ma,98 min,"dramas, independent movies, thrillers",98.0,min
movie,asghar farhadi,"penélope cruz, javier bardem, ricardo darín, eduard fernández, bárbara lennie, inma cuesta, elvira mínguez, ramón barea, carla campra, sara sálamo, roger casamajor, josé ángel egido","spain, france, italy",2019,r,133 min,"dramas, international movies, thrillers",133.0,min
tv show,unknown,mark miodownik,united kingdom,2014,tv-pg,1 Season,"british tv shows, docuseries, international tv shows",1.0,season
movie,ivan reitman,"david duchovny, julianne moore, orlando jones, seann william scott, ted levine, ethan suplee, michael bower, pat kilbane, ty burrell, dan aykroyd",united states,2001,pg-13,102 min,"comedies, sci-fi & fantasy",102.0,min
movie,alex garland,"domhnall gleeson, alicia vikander, oscar isaac, sonoya mizuno, claire selby, symara templeman, gana bayarsaikhan, tiffany pisani, corey johnson, evie wray, deborah rosan",united kingdom,2015,r,108 min,"dramas, independent movies, international movies",108.0,min
tv show,unknown,"tony yang, nana lee, jerry huang, liao yi chiao",china,2011,tv-14,1 Season,"international tv shows, romantic tv shows, tv comedies",1.0,season
tv show,james lee,"berg lee, yise loo, alvin wong, hady, monday kang, ruobing, wymen yang, may june, aenie wong, ernest chong",unknown,2008,tv-14,1 Season,"international tv shows, tv dramas",1.0,season
movie,stuart baird,"kurt russell, halle berry, john leguizamo, oliver platt, steven seagal, joe morton, david suchet, bd wong, len cariou, whip hubley",united states,1996,r,133 min,action & adventure,133.0,min
movie,"anders sømme hammer, marius arnesen, klaus erik okstad, olav njaastad",unknown,norway,2013,tv-ma,58 min,"documentaries, international movies",58.0,min
movie,michael whitton,"jameel saleem, kimelia weathers, quincy harris, big boy, kevin hart, misty alli, noelle balfour, sid burston, carlos castillo, liz hernandez, nick sinise",united states,2012,nr,79 min,"comedies, romantic movies",79.0,min
movie,andrzej bartkowiak,"steven seagal, dmx, isaiah washington, anthony anderson, michael jai white, bill duke, jill hennessy, tom arnold, bruce mcgill, david vadim, eva mendes",united states,2001,r,101 min,action & adventure,101.0,min
movie,joseph mbah,"derek davenport, amelia haberman, shepsut wilson, titus covington, hayley vrana, michael alvarez, richard lippert, alfoniso lopez",united states,2019,tv-14,81 min,"action & adventure, dramas, independent movies",81.0,min
tv show,unknown,"ricky gervais, stephen merchant, ashley jensen, shaun williamson, shaun pye","united kingdom, united states",2006,tv-ma,2 Seasons,"british tv shows, tv comedies",2.0,season
movie,hakan algül,"demet akbağ, ata demirer, özge borak, bican günalan, salih kalyon, tanju tuncel, meray ülgen",turkey,2010,tv-ma,99 min,"comedies, international movies",99.0,min
movie,hakan algül,"demet akbağ, ata demirer, özge borak, salih kalyon, tanju tuncel, meray ülgen, bican günalan, tarık ünlüoğlu, ayşenil şamlıoğlu",turkey,2011,tv-pg,106 min,"comedies, international movies, romantic movies",106.0,min
movie,hakan algül,"demet akbağ, ata demirer, özge borak, salih kalyon, tanju tuncel, serra yılmaz, tarık ünlüoğlu, ayşenil şamlıoğlu",turkey,2014,tv-pg,103 min,"comedies, international movies",103.0,min
tv show,unknown,"kenan i̇mirzalıoğlu, cansu dere, haluk bilginer, yiğit özşener, barış falay, burçin terzioğlu, bade i̇şçil, sarp akkaya, i̇pek bilgin, salih kalyon, tuncel kurtiz, sedef avcı, berrak tüzünataç, i̇smail filiz",turkey,2009,tv-14,1 Season,"crime tv shows, international tv shows, tv dramas",1.0,season
movie,benny fine,"cameron palatas, richard karn, cheri oteri, danielle campbell, nicholle tom, joel courtney, luke bilyk",united states,2017,tv-ma,92 min,"comedies, romantic movies",92.0,min
movie,matt toronto,"daniela bobadilla, daniel amerman, kevin mccorkle, mary gordon murray, emily jordan, karrie cox, nicholas james reilly, enspirit, sheldon a. smith, michael soulema",united states,2017,tv-ma,89 min,"dramas, independent movies",89.0,min
tv show,unknown,"tetsuya kakihara, aya hirano, rie kugimiya, yuichi nakamura, sayaka ohara, satomi sato, yui horie, hiroki yasumoto, ryoko ono, hiroki touchi, shinpachi tsuji, wataru hatano, mai nakahara, katsuyuki konishi, eri kitamura, todd haberkorn, cherami leigh, tia lynn ballard, newton pittman, colleen clinkenbeard, brittney karbowski, jad saxton, christopher r. sabat, monica rial, rick keeling, r. bruce elliott, david wald, brina palencia, patrick seitz, jamie marchi",japan,2009,tv-ma,1 Season,"anime series, international tv shows",1.0,season
tv show,unknown,"fiona bruce, philip mould, bendor grosvenor",united kingdom,2015,tv-g,1 Season,"british tv shows, crime tv shows, docuseries",1.0,season
movie,sanjay jadhav,"sachin khedekar, bharat jadhav, aniket vishwasrao, siddarth jadhav, sanjay narvekar, vaibhav mangale, santosh juvekar, sanjay khapre, mahesh manjrekar",india,2011,tv-14,150 min,"action & adventure, dramas, international movies",150.0,min
