type,director,cast,country,release_year,rating,duration,listed_in
Movie,Ashim Ahluwalia,,India,2005,TV-14,79 min,"Documentaries, International Movies"
Movie,Andrew Stanton,"Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe, Thomas Haden Church, Mark Strong, Ciarán Hinds, Dominic West, James Purefoy, Bryan Cranston, Polly Walker, Daryl Sabara, Art Malik, Eileen Page, Amanda Clayton, Davood Ghadami, Daniel O'Meara, Jill Baker, Josh Daugherty, Oliver Boot, Philip Arditti, Arkie Reece, Joe Billingiere, Don Stark, Darwin Shaw, Figs Jackman, David Schwimmer, Emma Clifford, Christopher Goodman, Cate Fowler, Sean Carrigan, Dusty Sorg, Steven Cree, Phil Cheadle, Holly Weston, Nicholas Woodeson, Rupert Frazer, Edmund Kente",United States,2012,PG-13,133 min,"Action & Adventure, Sci-Fi & Fantasy"
Movie,Ahishor Solomon,"Naseeruddin Shah, Randeep Hooda, Shernaz Patel, Elena Kazan, Sharat Saxena, Vipin Sharma, Denzil Smith, Kenneth Desai, Sushil Pandey",India,2013,TV-MA,125 min,"International Movies, Thrillers"
Movie,,John Mellencamp,,2017,TV-MA,80 min,"Documentaries, Music & Musicals"
Movie,Bill Oliver,"Ansel Elgort, Suki Waterhouse, Douglas Hodge, Patricia Clarkson, Matt Bomer, Souleymane Sy Savane, Shunori Ramanathan, Joe Egender",United States,2018,TV-MA,101 min,"Dramas, Independent Movies, Sci-Fi & Fantasy"
TV Show,Toby Haynes,"Eddie Marsan, Bertie Carvel, Marc Warren, Charlotte Riley, Alice Englert, Samuel West, Enzo Cilenti, Paul Kaye, Edward Hogg, Ariyon Bakare",United Kingdom,2015,TV-14,1 Season,"British TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
Movie,Amardeep Singh Gill,"Deep Sidhu, Dharmendra, Ashish Duggal, Aman Hundal, Pali Sidhu, Mukesh Tiwari, Mukul Dev",India,2017,TV-MA,135 min,"Action & Adventure, International Movies"
TV Show,,"Elisa Zulueta, Alejandro Trejo, Lucas Balmaceda, Gastón Salgado, Nelson Brodt, Emilia Noguera, Daniel Guillón, Ángela Lineros",Chile,2015,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
TV Show,,"Arcelia Ramírez, Arantza Ruiz, Hernán Del Riego, Margarita Sanz, Lisa Owen, Yolanda Corrales, Carlos Valencia, Mauricio Isaac, Pedro de Tavira Egurrola, Emilio Savinni, Néstor Galván, Paulina Matos, Alberto Collado, Rocío García, Luis Maya, Clementina Guadarrama",Mexico,2016,TV-14,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
Movie,David Dhawan,"Salman Khan, Karisma Kapoor, Rambha, Kader Khan, Anupam Kher, Shakti Kapoor, Bindu, Reema Lagoo, Satish Shah, Mukesh Rishi",India,1997,TV-14,133 min,"Comedies, International Movies, Romantic Movies"
Movie,John Schultz,"Jordana Beatty, Heather Graham, Parris Mosteller, Preston Bailey, Kristoffer Ryan Winters, Garrett Ryan, Jaleel White, Ashley Boettcher, Taylar Hender, Cameron Boyce, Jenica Bergere, Janet Varney",United States,2011,PG,91 min,"Children & Family Movies, Comedies"
Movie,Susannah Heath-Eves,,,2017,TV-14,52 min,Documentaries
Movie,Nora Ephron,"Meryl Streep, Amy Adams, Stanley Tucci, Chris Messina, Linda Emond, Helen Carey, Mary Lynn Rajskub, Jane Lynch, Joan Juliet Buck",United States,2009,PG-13,123 min,"Comedies, Dramas"
TV Show,,"Elizabeth Daily, Julie Lemieux, Athena Karkanis, Benjamin Israel, Stephanie Lynn Robinson",United States,2014,TV-Y,2 Seasons,Kids' TV
Movie,Salim Akil,"Angela Bassett, Paula Patton, Laz Alonso, Loretta Devine, Meagan Good, Tasha Smith, Julie Bowen, DeRay Davis, Valarie Pettiford, Pooch Hall, Tenika Davis, T.D. Jakes, Mike Epps, Romeo Miller, Marguerite McNeil, El DeBarge, Brian Stokes Mitchell, Gary Dourdan",United States,2011,PG-13,113 min,"Comedies, Romantic Movies"
Movie,Phil Morrison,"Amy Adams, Embeth Davidtz, Ben McKenzie, Alessandro Nivola, Frank Hoyt Taylor, Celia Weston, Scott Wilson, Jill Wagner, Victoria Jackson, Chuck Russell, Jerry Minor, Matt Besser",United States,2005,R,107 min,"Comedies, Dramas, Independent Movies"
Movie,"Lana Wachowski, Lilly Wachowski","Mila Kunis, Channing Tatum, Sean Bean, Eddie Redmayne, Douglas Booth, Tuppence Middleton, Nikki Amuka-Bird, Christina Cole, James D'Arcy, Gugu Mbatha-Raw","United States, Australia",2015,PG-13,128 min,"Action & Adventure, Sci-Fi & Fantasy"
Movie,Roger Kumble,"Anna Faris, Ty Olsson, Julie Hagerty, Amy Smart, Chris Marquette, Fred Ewanuick, Amy Matysio, Chris Klein, Ryan Reynolds, Stephen Root","Germany, United States, Canada",2005,PG-13,94 min,"Comedies, Romantic Movies"
Movie,Johnnie To,"Stephen Chow, Anita Mui, Carrie Ng, Wai Ai, Benjamin Chan, Ka Sang Cheung, Wing Cho, Paul Chun, Eddy Ko, Chi Ming Lau",Hong Kong,1992,TV-14,95 min,"Action & Adventure, Comedies, International Movies"
Movie,Jon M. Chu,"Justin Bieber, Ludacris, Usher Raymond, Jaden Smith, Miley Cyrus, Sean Kingston, Boyz II Men",United States,2011,G,106 min,"Documentaries, Music & Musicals"
TV Show,,"Daisuke Namikawa, Daisuke Ono, Mikako Komatsu, Kenjiro Tsuda, Tomokazu Sugita, Yui Horie, Takahiro Sakurai, Jun Fukuyama, Yuichi Nakamura, Miyuki Sawashiro, Mamoru Miyano, Satomi Sato, Yuki Kaji, Tetsuya Kakihara, Shozo Iizuka",Japan,2012,TV-MA,1 Season,"Anime Series, Crime TV Shows, International TV Shows"
Movie,Kathryn Bigelow,"Harrison Ford, Liam Neeson, Peter Sarsgaard, Sam Spruell, Joss Ackland, Peter Stebbings, Christian Camargo, Sam Redford, John Shrapnel, Donald Sumpter","United Kingdom, Germany, Canada, United States",2002,PG-13,138 min,"Action & Adventure, Dramas"
TV Show,,"Gürkan Uygun, Mustafa Avkıran, Berk Hakman, Begüm Birgören, Özlem Yılmaz, Yağmur Tanrısevsin, İnanç Konukçu, Hasan Küçükçetin, Metin Coşkun, Selda Özer, Yağız Atakan Savaş, Burak Deniz, Cengiz Sezici, Haluk Bilginer, Tuğba Melis Türk",Turkey,2013,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
Movie,Sanjay Gupta,"Hrithik Roshan, Yami Gautam, Ronit Roy, Rohit Roy, Narendra Jha, Girish Kulkarni, Sahidur Rahaman, Suresh Menon",India,2017,TV-14,139 min,"Dramas, International Movies"
Movie,Kranti Redkar,"Jitendra Joshi, Urmila Kanitkar, Ashutosh Gaikwad, Ashok Shinde, Madhavi Juvekar",India,2015,TV-PG,132 min,"Dramas, International Movies, Romantic Movies"
Movie,Tinnu Anand,"Amitabh Bachchan, Asha Parekh, Parveen Babi, Amjad Khan, Pran, K.N. Singh, Sajjan, Murad, Kader Khan, Jagdeep",India,1981,TV-14,173 min,"Action & Adventure, Dramas, International Movies"
Movie,Jijo Pancode,"Tini Tom, Meghanathan, Balachandran Chullikadu, Shivaji Guruvayoor, Kottayam Purushan, Nithin George, Grace Antony, Shalu",India,2017,TV-PG,105 min,"Dramas, International Movies"
Movie,Pa. Ranjith,"Rajnikanth, Winston Chao, Radhika Apte, Nassar, Dhansika, Kalaiyarasan, Dinesh, John Vijay, Kishore Kumar G., Riythvika",India,2016,TV-MA,148 min,"Action & Adventure, Dramas, International Movies"
Movie,Buta Singh,"Yograj Singh, Nitu Pandher, Deep Mandian, Shreya Chawla, Jagpal Singh Chahal, Jyoti Sharma, Janak Joshi, Karan Vinayak",India,2016,TV-14,120 min,"Dramas, International Movies, Romantic Movies"
Movie,"Roger Allers, Gaëtan Brizzi, Paul Brizzi, Joan C. Gratz, Mohammed Saeed Harib, Tomm Moore, Nina Paley, Bill Plympton, Joann Sfar, Michael Socha","Liam Neeson, Salma Hayek, John Krasinski, Frank Langella, Alfred Molina, John Rhys-Davies, Quvenzhané Wallis","United States, France, Canada, Lebanon, Qatar",2014,PG,85 min,"Children & Family Movies, Dramas"
Movie,Pooja Bhatt,"Himesh Reshammiya, Sara Loren, Amrita Singh, Gulshan Grover, Javed Sheikh, Adnan Shah, Natasha Sinha, Gaurav Chanana, Anupam Shyam",India,2010,TV-14,113 min,"Dramas, International Movies, Music & Musicals"
Movie,Rupert Jones,"Toby Jones, Anne Reid, Sinead Matthews, Cecilia Noble, Karl Johnson, Frederick Schmidt, Deborah Findlay, Manjinder Virk",United Kingdom,2016,TV-MA,99 min,Thrillers
Movie,Dhilip Kumar,"Kishore Kumar G., Yasmin Ponnappa, Mithraboomi Saravanan",India,2017,TV-14,41 min,"Dramas, Independent Movies, International Movies"
Movie,,"Sharad Ponkshe, Smita Shewale",India,2017,TV-14,110 min,"Horror Movies, International Movies, Thrillers"
Movie,Satish Kaushik,"Himesh Reshammiya, Urmila Matondkar, Shweta Kumar, Dino Morea, Raj Babbar, Danny Denzongpa, Gulshan Grover, Rohini Hattangadi, Asrani, Smita Bansal",India,2008,TV-14,137 min,"International Movies, Music & Musicals, Romantic Movies"
Movie,James Mangold,"Meg Ryan, Hugh Jackman, Liev Schreiber, Breckin Meyer, Natasha Lyonne, Bradley Whitford, Paxton Whitehead, Spalding Gray, Josh Stamberg, Matthew Sussman",United States,2001,PG-13,118 min,"Comedies, Romantic Movies"
Movie,Sai Paranjape,"Farooq Shaikh, Naseeruddin Shah, Deepti Naval, Veeni Paranjape Joglekar, Mallika Sarabhai, Arun Joglekar",India,1982,TV-PG,140 min,"Comedies, Dramas, Independent Movies"
Movie,Alphonso J. Wesson,Katt Williams,United States,2006,NR,85 min,Stand-Up Comedy
Movie,Vineeth Anil,"Prakash Bare, Arun Kumar, Kulappulli Leela, Sangeetha Mohan, Kochu Preman",India,2017,TV-14,116 min,"Dramas, International Movies"
Movie,Chandrakant Kulkarni,"Makarand Anaspure, Akshay Pendse, Umesh Kamat, Sharvari Jamenis, Sachin Khedekar, Arun Nalawade, Mohan Agashe, Nirmiti Sawant, Sanjay Mone, Amita Khopkar, Pushkar Shrotri, Ganesh Yadav",India,2005,TV-14,133 min,"Comedies, Dramas, International Movies"
TV Show,Ken Burns,"Sam Waterston, Julie Harris, Jason Robards, Morgan Freeman, Paul Roebling, Garrison Keillor, George Black, David McCullough, Arthur Miller, Christopher Murney, Charles McDowell, Horton Foote, George Plimpton, Philip Bosco, Terry Courier, Jody Powell, Studs Terkel",United States,1990,TV-14,1 Season,Docuseries
TV Show,Ken Burns,,United States,2014,TV-PG,1 Season,Docuseries
TV Show,,Peter Coyote,United States,1996,TV-PG,1 Season,Docuseries
Movie,"Leslie Small, Tim Story",Kevin Hart,United States,2011,R,89 min,Stand-Up Comedy
Movie,"Leslie Small, Tim Story",Kevin Hart,United States,2013,R,75 min,Stand-Up Comedy
Movie,Shannon Hartman,Kevin Hart,United States,2010,TV-MA,67 min,Stand-Up Comedy
Movie,Lori Kaye,"Kevyn Aucoin, Cindy Crawford, Naomi Campbell, Gwyneth Paltrow, Andie MacDowell, Paulina Porizkova, Amber Valletta",United States,2017,TV-MA,90 min,"Documentaries, LGBTQ Movies"
TV Show,,"Feroze Khan, Sana Javed, Mehmood Aslam, Saman Ansari, Qavi Khan, Salma Hasan, Rashid Farooqi, Muhammad Mubarik Ali",Pakistan,2017,TV-14,1 Season,"Crime TV Shows, International TV Shows, Romantic TV Shows"
Movie,Subhash Ghai,"Sanjay Dutt, Madhuri Dixit, Jackie Shroff, Anupam Kher, Rakhee Gulzar, Pramod Moutho, Ramya Krishnan, Sushmita Mukherjee, Neena Gupta, A.K. Hangal",India,1993,TV-14,170 min,"Action & Adventure, Dramas, International Movies"
TV Show,,Rajesh Sharma,India,2018,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Comedies"
TV Show,,"Ulka Gupta, Gautami Kapoor, Reema Shaikh, Vinay Jain, Manav Gohil, Helly Shah",India,2013,TV-14,1 Season,"International TV Shows, TV Dramas"
Movie,Dibakar Banerjee,"Anupam Kher, Boman Irani, Parvin Dabas, Tara Sharma, Navin Nischol, Kiran Juneja, Ranvir Shorey, Vinod Nagpal, Vinay Pathak, Nitish Pandey",India,2006,TV-14,124 min,"Comedies, Dramas, International Movies"
TV Show,,"Vikas Kumar, Hassan Zaidi, Sukhmani Sadana, Puru Chibber, Dilkhush, Mark Farokh Parakh",India,2011,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
Movie,Hrishikesh Mukherjee,"Ashok Kumar, Rekha, Rakesh Roshan, Shashikala, Aradhana, Dina Pathak, David Abraham, S.N. Banerjee, Keshto Mukherjee",India,1980,TV-PG,120 min,"Classic Movies, Comedies, Dramas"
Movie,"Surya S.J., Sunil Kumar Agrawal","Fardeen Khan, Kareena Kapoor, Amrish Puri, Navin Nischol, Beena, Anup Soni, Johnny Lever, Sharat Saxena, Amitabh Bachchan, Sakshi Shivanand",India,2003,TV-14,157 min,"Comedies, International Movies, Music & Musicals"
Movie,Sudipto Roy,"Ritwika Pal, Swastika Mukherjee, Joy Sengupta",India,2018,TV-14,124 min,"Dramas, Independent Movies, International Movies"
Movie,Dimitri Logothetis,"Alain Moussi, Jean-Claude Van Damme, Mike Tyson, Christopher Lambert, Sara Malakul Lane, Hafþór Júlíus Björnsson, Sam Medina, Steven Swadling",United States,2017,R,110 min,Action & Adventure
Movie,John Stockwell,"Alain Moussi, Jean-Claude Van Damme, Dave Bautista, Gina Carano, Georges St-Pierre, Sara Malakul Lane, Matthew Ziff, T.J. Storm, Fabricio Werdum, Cain Velasquez",United States,2016,TV-MA,90 min,Action & Adventure
Movie,Noah Baumbach,"Josh Hamilton, Olivia d'Abo, Carlos Jacott, Chris Eigeman, Eric Stoltz, Jason Wiles, Parker Posey, Cara Buono, Elliott Gould, Samuel Gould",United States,1995,R,97 min,"Comedies, Independent Movies, Romantic Movies"
Movie,Paul Soriano,"Robert Villar, Alessandra de Rossi, Cesar Montano, Alex Medina, Jake Macapagal, Khalil Ramos, Jomari Angeles, Kokoy DeSantos",Philippines,2015,TV-14,108 min,"Dramas, International Movies, Sports Movies"
Movie,Daniel Alfredson,"Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, David Dencik","Netherlands, Belgium, United Kingdom, United States",2015,R,95 min,"Action & Adventure, Dramas, International Movies"
TV Show,,Igor Dmitriev,,2010,TV-Y,2 Seasons,Kids' TV
Movie,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah, David Carradine, Michael Madsen, Julie Dreyfus, Chiaki Kuriyama, Sonny Chiba, Gordon Liu","United States, Japan",2003,R,111 min,Action & Adventure
Movie,Quentin Tarantino,"Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah, Gordon Liu, Michael Parks, Perla Haney-Jardine, Helen Kim, Claire Smithies, Clark Middleton",United States,2004,R,137 min,Action & Adventure
Movie,Steven Gomez,"Vanessa Kirby, David Ajala, Mike Noble, Bentley Kalu, Tom McKay, Kelly Gough, Osi Okerafor, Damian Kell, Tim Ahern, Deborah Rosan, Thure Lindhardt",United Kingdom,2016,TV-MA,100 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy"
Movie,Frédéric Tonolli,Jean-Baptiste Marcenac,France,2015,TV-14,53 min,"Documentaries, International Movies"
Movie,Paul Tanter,"Tom Hopper, Amy Huberman, Lacy Moore, Brian McGuinness, Luke Pierucci, Nick Dunning",United States,2016,TV-MA,87 min,Action & Adventure
Movie,Jonathan Hensleigh,"Ray Stevenson, Vincent D'Onofrio, Val Kilmer, Christopher Walken, Linda Cardellini, Fionnula Flanagan, Jason Butler Harner, Vinnie Jones, Paul Sorvino, Marcus Thomas, Tony Darrow",United States,2011,R,106 min,"Action & Adventure, Dramas, Independent Movies"
Movie,Stephen Chiodo,"Grant Cramer, Suzanne Snyder, John Allen Nelson, John Vernon, Michael S. Siegel, Peter Licassi, Royal Dano, Christopher Titus, Irene Michaels, Karla Sue Krull",United States,1988,PG-13,86 min,"Comedies, Cult Movies, Horror Movies"
Movie,Robert Luketic,"Katherine Heigl, Ashton Kutcher, Tom Selleck, Catherine O'Hara, Katheryn Winnick, Kevin Sussman, Lisa Ann Walter, Casey Wilson, Rob Riggle, Martin Mull, Alex Borstein",United States,2010,PG-13,100 min,"Action & Adventure, Comedies, Romantic Movies"
Movie,Attila Till,"Szabolcs Thuróczy, Zoltán Fenyvesi, Adám Fekete, Dusan Vitanovic, Mónika Balsai, Lidia Danis, Zoltán Mucsi",Hungary,2016,TV-MA,103 min,"Action & Adventure, Dramas, International Movies"
Movie,Paul Katis,"David Elliot, Mark Stanley, Scott Kyle, Benjamin O'Mahony, Bryan Parry, Liam Ainsworth, Andy Gibbins, John Doughty, Paul Luebke, Thomas Davison, Grant Kilburn, Robert Mitchell, Jon-Paul Bell, Malachi Kirby, Ali Cook",United Kingdom,2014,R,109 min,"Dramas, Independent Movies, Thrillers"
Movie,Felix Thompson,"Charlie Plummer, Cory Nichols, Christian Madsen, Danny Flaherty, Erin Davie, Chloe Levine",United States,2015,NR,81 min,"Dramas, Independent Movies"
Movie,Jeffrey W. Byrd,"Anthony Anderson, Jay Mohr, Kellita Smith, Nicole Ari Parker, Regina Hall, Loretta Devine, Donald Faison, Leila Arcieri, Charlie Murphy, Brooke D'Orsay","United States, Canada",2005,PG-13,98 min,"Action & Adventure, Comedies"
TV Show,Steve Greenwood,,,2018,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV"
Movie,"Peter Farrelly, Bobby Farrelly","Woody Harrelson, Randy Quaid, Vanessa Angel, Bill Murray, Chris Elliott, William Jordan, Richard Tyson, Lin Shaye",United States,1996,PG-13,114 min,"Comedies, Cult Movies, Sports Movies"
Movie,Deniz Gamze Ergüven,"Halle Berry, Daniel Craig, Lamar Johnson, Kaalan Walker, Rachel Hilson, Issac Ryan Brown, Callan Farris, Serenity Reign Brown, Reece Cody, Aiden Akpan","France, Belgium, China, United States",2017,R,87 min,Dramas
Movie,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Kapil Sharma, Arbaaz Khan, Varun Sharma, Sharat Saxena, Supriya Pathak, Manoj Joshi, Manjari Fadnis, Simran Kaur Mundi, Elli Avram, Jamie Lever",India,2015,TV-PG,132 min,"Comedies, International Movies"
Movie,Gary Fleder,"Morgan Freeman, Ashley Judd, Cary Elwes, Alex McArthur, Tony Goldwyn, Jay O. Sanders, Bill Nunn, Brian Cox",United States,1997,R,116 min,Thrillers
TV Show,,"Lapassalal Jiravechsoontornkul, Mook Worranit Thawornwong, Jirakit Thawornwong, Sattaphong Phiangphor",,2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
TV Show,,Jo Brand,United Kingdom,2017,TV-14,1 Season,"British TV Shows, International TV Shows, Reality TV"
Movie,Woo Ming Jin,"Zizan Razak, Siti Saleha, Zain Hamid, Izara Aishah, Fadzli Daniel Ali, Usop Wilcha",Malaysia,2013,TV-14,92 min,"Comedies, Horror Movies, International Movies"
TV Show,,"Ryota Osaka, Aya Suzaki, Aki Toyosaki, Takahiro Sakurai, Hisako Kanemoto, Eri Kitamura, Sayaka Ohara, Tomohiro Tsuboi, Takehito Koyasu, Satomi Arai, Atsuko Tanaka, Nanako Mori, Takako Honda, Kohsuke Toriumi, Ayane Sakura, Osamu Saka",Japan,2015,TV-MA,2 Seasons,"Anime Series, International TV Shows"
Movie,Eli Roth,"Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns, Ignacia Allamand, Dan Baily, Megan Baily, Colleen Camp, Antonio Quercia","United States, Chile, Israel",2015,R,99 min,"Horror Movies, Thrillers"
Movie,"Frank Capra, Joris Ivens","Walter Huston, Dana Andrews",United States,1945,TV-14,63 min,"Classic Movies, Documentaries"
Movie,Alex Proyas,"Nicolas Cage, Chandler Canterbury, Rose Byrne, Lara Robinson, D.G. Maloney, Nadia Townsend, Alan Hopgood, Adrienne Pickering","United States, United Kingdom, Australia",2009,PG-13,121 min,"Sci-Fi & Fantasy, Thrillers"
Movie,Jonathan Taylor,Demetri Goritsas,United Kingdom,2016,TV-G,56 min,Documentaries
TV Show,,,,2014,TV-PG,1 Season,"Docuseries, International TV Shows"
Movie,"Joachim Rønning, Espen Sandberg","Pål Sverre Hagen, Anders Baasmo Christiansen, Tobias Santelmann, Gustaf Skarsgård, Odd Magnus Williamson, Jakob Oftebro, Agnes Kittelsen, Peter Wight, Amund Hellum Noraker, Eilif Hellum Noraker","United Kingdom, Norway, Denmark, Germany, Sweden",2012,PG-13,96 min,"Action & Adventure, Dramas, International Movies"
Movie,Gulzar,"Sanjeev Kumar, Jaya Bhaduri, Asrani, Seema, Om Shivpuri, Dina Pathak",India,1972,TV-14,115 min,"International Movies, Romantic Movies"
Movie,Hans Petter Moland,"Stellan Skarsgård, Pål Sverre Hagen, Bruno Ganz, Hildegun Riise, Peter Andersson, Birgitte Hjort Sørensen, Jakob Oftebro, Anders Baasmo Christiansen, Jon Øigarden, Gard B. Eidsvold, Kristofer Hivju, Birgitte Hjort Sorensen, Stellan Skarsgard","Norway, Denmark, Sweden",2014,TV-MA,117 min,"Comedies, International Movies, Thrillers"
Movie,,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,2009,TV-Y7,58 min,Children & Family Movies
Movie,"Munjal Shroff, Tilak Shetty","Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal, Deepak Chachra",,2013,TV-Y7,62 min,Children & Family Movies
Movie,"Munjal Shroff, Tilak Shetty","Damandeep Singh Baggan, Smita Malhotra, Deepak Chachra",,2016,TV-Y,65 min,Children & Family Movies
Movie,Tilak Shetty,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,2012,TV-Y7,61 min,Children & Family Movies
Movie,Tilak Shetty,"Tarun Ratnani, Smita Malhotra, Deepak Chachra",India,2017,TV-Y7,65 min,Children & Family Movies
Movie,Tilak Shetty,"Rishi Gambhir, Smita Malhotra, Deepak Chachra",,2017,TV-Y7,65 min,Children & Family Movies
Movie,,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,2010,TV-Y7,58 min,Children & Family Movies
Movie,"Munjal Shroff, Tilak Shetty","Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,2013,TV-Y7,60 min,Children & Family Movies
Movie,Trey Edward Shults,"Krisha Fairchild, Alex Dobrenko, Robyn Fairchild, Chris Doubek, Victoria Fairchild, Bryan Casserly, Chase Joliet, Atheena Frizzell, Augustine Frizzell, Bill Wise, Olivia Grace Applegate, Trey Edward Shults",United States,2015,R,81 min,"Dramas, Independent Movies"
TV Show,,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Arun Shekher, Sanchit Wartak, Sharda Agnihotri, Ashok Sonawane, Joy Mukherjee",,2019,TV-Y7,1 Season,Kids' TV
Movie,Oliver Blackburn,"Haley Bennett, Ashley Greene, Erica Ash, Lucas Till, Chris Coy, Al Vicente, Wayne Pére, Jon Arthur, Mike Seal",United States,2013,NR,85 min,Horror Movies
Movie,William H. Macy,"Rosario Dawson, Nick Robinson, Jacob Latimore, Grant Gustin, William H. Macy, Kathy Bates, Felicity Huffman, William Fichtner, T.I., Rick Fox, Amy Parrish",United States,2017,R,93 min,"Comedies, Dramas"
Movie,Remy Kohli,"Deepak Dobriyal, Gulshan Devaiah, Raima Sen, Parvin Dabas, Anurag Arora, Jameel Khan, Priyanka Setia",India,2017,TV-MA,126 min,"Dramas, Independent Movies, International Movies"
Movie,Stephen Chow,"Stephen Chow, Yuen Wah, Yuen Qiu, Lam Chi-chung, Dong Zhihua, Chiu Chi-ling, Xing Yu, Danny Chan Kwok-kwan, Leung Siu-lung","Hong Kong, China, United States",2004,R,99 min,"Action & Adventure, Comedies, Cult Movies"
Movie,Andrés Couturier,"Dylan Sprouse, Cole Sprouse, Alyson Stoner, Tom Kenny, Chris Parnell, Rodger Bumpass, Maile Flanagan, Wally Wingert, Candi Milo, Jim Ward","Mexico, United States",2010,TV-Y7,79 min,"Children & Family Movies, Comedies"
Movie,Tim Johnson,"Jack Black, Angelina Jolie, Dustin Hoffman, Jackie Chan, Seth Rogen, Lucy Liu, David Cross, James Hong, Dan Fogler",United States,2010,TV-PG,26 min,"Children & Family Movies, Comedies"
Movie,Stanley Tong,"Jackie Chan, Disha Patani, Amyra Dastur, Sonu Sood, Aarif Rahman, Miya Muqi, Zhang Yixing, Eric Tsang","China, India, Nepal",2017,TV-PG,107 min,"Action & Adventure, Comedies, International Movies"
Movie,Suresh Pillai,"Nandu, Kochu Preman, Jayakrishnan, Mohan Ayroor, M.R. Gopakumar, Shanawas, Adoor Ajayan, Dinesh Panicker",,2017,TV-14,133 min,"Dramas, International Movies, Romantic Movies"
Movie,Nick Broomfield,"Kurt Cobain, Courtney Love",United Kingdom,1998,R,95 min,"Documentaries, Music & Musicals"
TV Show,,"Kıvanç Tatlıtuğ, Farah Zeynep Abdullah, Fahriye Evcen, Ushan Çakır, Birkan Sokullu",Turkey,2014,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
Movie,Yusuf Pirhasan,"Belçim Bilgin, Demet Akbağ, Asuman Dabak, Ayten Soykök, Damla Sönmez, Mete Horozoğlu, Ahmet Mümtaz Taylan, Yavuz Bingöl, Hüseyin Soysalan, Tolga Karaçelik, Nihal Yalçın",Turkey,2012,TV-MA,100 min,"Comedies, Dramas, International Movies"
Movie,Kundan Shah,"Preity Zinta, Saif Ali Khan, Anupam Kher, Farida Jalal, Chandrachur Singh",India,2000,TV-PG,149 min,"Dramas, International Movies, Romantic Movies"
Movie,Devin Chanda,Kygo,United States,2017,TV-MA,52 min,Music & Musicals
Movie,Samir Karnik,"Aishwarya Rai Bachchan, Vivek Oberoi, Amitabh Bachchan, Om Puri, Rati Agnihotri, Sunil Shetty, Tinnu Anand, Rahul Singh",India,2004,TV-PG,165 min,"International Movies, Romantic Movies"
Movie,"Leandro Mark, Nicolás Silbert","Nicolás Vázquez, Alan Sabbagh, Benjamín Amadeo, Eva De Dominici, César Bordón, Julian Kartun, Paula Carruega, Luciano Rossi, Ezequiel Campa",Argentina,2016,TV-MA,104 min,"Comedies, International Movies"
Movie,"Daniel Lindsay, T.J. Martin",,United States,2017,R,114 min,Documentaries
Movie,Luis Valdez,"Lou Diamond Phillips, Esai Morales, Rosanna DeSoto, Elizabeth Peña, Danielle von Zerneck, Joe Pantoliano, Rick Dees, Marshall Crenshaw, Howard Huntsberry, Brian Setzer",United States,1987,PG-13,109 min,"Classic Movies, Dramas, Music & Musicals"
Movie,Giulio Base,"Massimo Boldi, Massimiliano Tortora, Anna Maria Barbera, Massimo Ceccherini, Pia Lanciotti, Flora Canto",Italy,2016,TV-MA,88 min,"Comedies, International Movies"
TV Show,,"Eugenio Derbez, Consuelo Duval, Luis Manuel Ávila, Regina Blandón, Miguel Perez, Barbara Torres, Dalilah Polanco, Pierre Angelo",United States,2012,TV-14,3 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Comedies"
TV Show,,"Zoe Tay, Ann Kok, Tiffany Leong, Tay Ping Hui, Yao Wenlong, Shaun Chen, Paige Chua, Nat Ho, Desmond Sim",,2016,TV-14,1 Season,"International TV Shows, TV Dramas"
